Part,Color,Quantity,Is Spare
3005,0,12,False
2465,0,12,False
3010,0,8,False
3008,0,12,False
2357,0,4,False
55819,0,1,False
2458,0,24,False
65803,0,9,False
2445,0,4,False
4282,0,8,False
2420,0,4,False
3020,0,1,False
11212,0,4,False
67139,0,2,False
2780,0,40,False
2780,0,1,True
63864,0,8,False
4162,0,20,False
87079pr0221,0,1,False
98138,0,698,False
98138,0,12,True
98138,212,57,False
98138,212,1,True
98138,191,65,False
98138,191,1,True
98138,272,121,False
98138,272,2,True
98138,72,141,False
98138,72,11,True
98138,308,554,False
98138,308,6,True
98138,484,85,False
98138,484,2,True
98138,28,137,False
98138,28,7,True
98138,71,2,True
98138,71,51,False
98138,84,29,False
98138,84,1,True
98138,25,74,False
98138,25,2,True
2420,4,4,False
98138,70,250,False
98138,70,5,True
98138,379,52,False
98138,379,1,True
98138,19,5,True
98138,19,283,False
3022,15,9,False
98138,15,8,True
98138,15,149,False
